anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2013;3;18. Sants;1542;3988;3855;4458;5478;928;3130;3723;4814;4341
2013;4;19. les Corts;1200;3102;3724;5925;7884;713;1853;2931;5735;7387
2013;4;20. la Maternitat i Sant Ramon;785;1866;2023;2841;3687;452;1124;1704;2923;3308
2013;4;21. Pedralbes;182;481;752;1629;2268;149;184;463;1272;2487
2013;5;22. Vallvidrera, el Tibidabo i les Planes;129;219;267;502;760;78;155;292;499;665
2013;5;23. Sarria;505;1035;1502;2880;5010;332;468;1026;2522;4620
2013;5;24. les Tres Torres;238;514;880;2284;3294;171;179;538;1686;3320
2013;5;25. Sant Gervasi - la Bonanova;436;999;1569;3493;4997;304;573;1054;2792;4755
2013;5;26. Sant Gervasi - Galvany;686;1833;2884;6861;9702;533;728;1762;4950;9297
2013;5;27. el Putxet i el Farro;519;1226;1897;3888;6103;322;541;1431;3313;5287
2013;6;28. Vallcarca i els Penitents;456;992;1252;1838;2725;250;637;1092;1852;2165
2013;6;29. el Coll;295;563;681;816;954;170;426;656;867;741
2013;6;30. la Salut;378;852;1143;1613;2352;277;461;888;1672;1865
2013;6;31. la Vila de Gracia;1453;3723;3808;5499;10268;767;2455;3525;5620;7681
2013;6;32. el Camp d'en Grassot i Gracia Nova;938;2542;2963;4135;6006;569;1430;2502;4272;4885
2013;7;33. el Baix Guinardo;1021;2317;2552;3086;3441;555;1400;2328;3211;2781
2013;7;34. Can Baro;486;838;920;947;972;285;647;907;1012;743
2013;7;35. el Guinardo;1324;3261;3630;4350;4366;781;2122;3333;4512;3461
2013;7;36. la Font d'en Fargues;324;739;924;1056;1191;215;448;869;1230;1004
2013;7;37. el Carmel;2564;3420;3901;2829;1560;1663;3110;4385;2802;1135
2013;7;38. la Teixonera;779;1206;1315;1135;780;511;1080;1466;1184;557
2013;7;39. Sant Genis dels Agudells;489;712;738;703;561;278;625;784;701;447
2013;7;40. Montbau;355;594;493;522;567;169;355;496;562;382
2013;7;41. la Vall d'Hebron;221;508;501;589;744;143;382;502;676;547
2013;7;42. la Clota;30;37;58;34;57;23;58;54;46;30
2013;7;43. Horta;1529;2711;2638;2900;2637;942;2146;2713;3112;1860
2013;8;44. Vilapicina i la Torre Llobeta;1278;2761;2848;2844;2448;745;1920;2709;3016;1723
2013;8;45. Porta;1584;2915;2675;2460;1731;989;2302;2863;2645;1191
2013;8;46. el Turo de la Peira;1079;2064;1719;1467;871;584;1558;1723;1478;633
2013;8;47. Can Peguera;211;318;276;168;78;121;247;301;184;46
2013;8;48. la Guineueta;955;1803;1732;1537;1098;566;1220;1741;1700;813
2013;8;49. Canyelles;530;915;923;566;366;349;763;955;622;223
2013;8;50. les Roquetes;1378;1841;1984;1164;538;912;1862;2189;1093;364
2013;8;51. Verdun;1006;1536;1541;1077;574;597;1392;1582;957;364
2013;8;52. la Prosperitat;2275;3016;3095;2434;1246;1372;2685;3426;2357;857
2013;8;53. la Trinitat Nova;678;965;941;516;209;371;927;1071;490;151
2013;8;54. Torre Baro;200;261;258;101;62;166;290;308;107;44
